"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
3x3x3;00:18.034;B2 R D2 F2 R' U2 B2 U2 F' D2 R' B' D L R2 U' B' R U2;2019-07-31 21:48;no;no;1564599709954;
3x3x3;00:18.116;B2 L' F R2 U' B D L' U' R' L2 U2 L2 U B2 L2 U';2019-07-31 21:44;no;no;1564599709954;
3x3x3;00:18.535;D L2 D R' F2 B2 D2 F' U' B R U R2 B2 D R2 U' D F2 L2;2019-07-31 21:42;no;no;1564599709954;
3x3x3;00:22.653;U F B U2 R' F' R D' R' D' F' D' B2 D B2 R2 B2 D2 B2 D' B2;2019-07-31 21:32;no;no;1564599709954;
3x3x3;00:22.664;R2 B2 R2 F2 D' L2 B2 D F2 U L' B' L' B L2 U L' R' B;2019-07-31 21:31;no;no;1564599709954;
3x3x3;00:22.698;L D R B' D L' D' F2 U R' F2 L2 B2 R2 B D2 B U2 B' U2;2019-07-31 21:30;no;no;1564599709954;
3x3x3;00:20.332;U2 F L2 F D2 R2 B' L2 B2 F' L2 R' U2 F2 R' D U2 F D L U;2019-07-31 21:29;no;no;1564599709954;
3x3x3;00:20.329;L D2 R2 U2 L2 F2 L B2 R F2 D B L F2 D' B R2 B U2 F2;2019-07-31 21:27;no;no;1564599709954;
3x3x3;00:22.564;R B2 L U2 F' U2 D' B2 L' U F R' D2 B2 R' D2 B2 R';2019-07-31 21:26;no;no;1564599709954;
3x3x3;00:18.016;D2 R' D2 R2 B2 L2 D' R' B' D' U' R D L2 D R' D;2019-07-31 21:25;no;no;1564599709954;
3x3x3;00:21.044;B U' D R B' D2 R B2 R B D' R2 U2 D2 R' U2 F2 D2;2019-07-31 21:23;no;no;1564599709954;
3x3x3;00:21.805;B2 L D2 F2 R2 D' R' F B U F2 U2 B2 U2 R B2 U2 L;2019-07-31 21:23;no;no;1564599709954;
3x3x3;00:25.377;R2 U2 B' D2 L2 B' R2 U2 R D2 L F' L R B L' D R2 D2;2019-07-31 21:20;no;no;1564599709954;
3x3x3;00:19.428;R2 U2 L F2 R F2 U2 F2 R' U L' U2 F' L F' L R U' R2;2019-07-31 21:19;no;no;1564599709954;
3x3x3;00:18.852;U L' B' D' R U' F2 R2 B R F2 R2 D L2 U' B2;2019-07-31 21:18;no;no;1564599709954;
3x3x3;00:24.471;B2 F2 L' B2 L' U2 L' D2 R B F2 U' B D2 L D2 F2 L' B;2019-07-31 21:17;no;no;1564599709954;
3x3x3;00:18.005;U2 F2 L2 R2 F' L2 R2 U L' B2 F2 D F L U' R2 B2 R;2019-07-31 21:16;no;no;1564599709954;
3x3x3;00:19.551;U2 B D R U' F' U F L' D F2 U F2 R2 D2 L2 U R2 F2 U';2019-07-31 21:15;no;no;1564599709954;
3x3x3;00:21.218;F2 D2 R2 B2 D L2 R2 D2 F2 D' B D U' B D' L R' B' U';2019-07-31 21:14;no;no;1564599709954;
3x3x3;00:22.426;R' L' U' R2 U2 F2 U R D R2 B L2 B2 D R2 B2 U2 B2 R2;2019-07-31 21:13;no;no;1564599709954;
3x3x3;00:21.260;D2 B' R2 B U' B2 D' R F B L2 D2 B2 R F2 U2 F2 U2 R2 L;2019-07-31 21:11;no;no;1564599709954;
3x3x3;00:20.755;F D2 R B2 D' R L' U F' L2 B D' L2 D B2 U' R2 U L2 D;2019-07-31 21:10;no;no;1564599709954;
3x3x3;00:25.002;D2 U' B2 R2 D2 U2 B2 F' L U L D L R F R D2 U2 R;2019-07-31 21:09;no;no;1564599709954;
